Part,Question,Response,x0,y0,x1,y1
A,1,Never,141.7,82.1,154.0,90.0
A,1,Rarely,154.0,82.1,166.3,90.0
A,1,Sometimes,166.3,82.1,178.6,90.0
A,1,Often,178.6,82.1,190.9,90.0
A,1,Very Often,190.9,82.1,203.2,90.0
A,2,Never,141.7,90.0,154.0,97.9
A,2,Rarely,154.0,90.0,166.3,97.9
A,2,Sometimes,166.3,90.0,178.6,97.9
A,2,Often,178.6,90.0,190.9,97.9
A,2,Very Often,190.9,90.0,203.2,97.9
A,3,Never,141.7,97.9,154.0,105.8
A,3,Rarely,154.0,97.9,166.3,105.8
A,3,Sometimes,166.3,97.9,178.6,105.8
A,3,Often,178.6,97.9,190.9,105.8
A,3,Very Often,190.9,97.9,203.2,105.8
A,4,Never,141.7,105.8,154.0,113.7
A,4,Rarely,154.0,105.8,166.3,113.7
A,4,Sometimes,166.3,105.8,178.6,113.7
A,4,Often,178.6,105.8,190.9,113.7
A,4,Very Often,190.9,105.8,203.2,113.7
A,5,Never,141.7,113.7,154.0,121.6
A,5,Rarely,154.0,113.7,166.3,121.6
A,5,Sometimes,166.3,113.7,178.6,121.6
A,5,Often,178.6,113.7,190.9,121.6
A,5,Very Often,190.9,113.7,203.2,121.6
A,6,Never,141.7,121.6,154.0,129.5
A,6,Rarely,154.0,121.6,166.3,129.5
A,6,Sometimes,166.3,121.6,178.6,129.5
A,6,Often,178.6,121.6,190.9,129.5
A,6,Very Often,190.9,121.6,203.2,129.5
B,7,Never,141.7,135.5,154.0,143.275
B,7,Rarely,154.0,135.5,166.3,143.275
B,7,Sometimes,166.3,135.5,178.6,143.275
B,7,Often,178.6,135.5,190.9,143.275
B,7,Very Often,190.9,135.5,203.2,143.275
B,8,Never,141.7,143.275,154.0,151.05
B,8,Rarely,154.0,143.275,166.3,151.05
B,8,Sometimes,166.3,143.275,178.6,151.05
B,8,Often,178.6,143.275,190.9,151.05
B,8,Very Often,190.9,143.275,203.2,151.05
B,9,Never,141.7,151.05,154.0,158.825
B,9,Rarely,154.0,151.05,166.3,158.825
B,9,Sometimes,166.3,151.05,178.6,158.825
B,9,Often,178.6,151.05,190.9,158.825
B,9,Very Often,190.9,151.05,203.2,158.825
B,10,Never,141.7,158.825,154.0,166.6
B,10,Rarely,154.0,158.825,166.3,166.6
B,10,Sometimes,166.3,158.825,178.6,166.6
B,10,Often,178.6,158.825,190.9,166.6
B,10,Very Often,190.9,158.825,203.2,166.6
B,11,Never,141.7,166.6,154.0,174.375
B,11,Rarely,154.0,166.6,166.3,174.375
B,11,Sometimes,166.3,166.6,178.6,174.375
B,11,Often,178.6,166.6,190.9,174.375
B,11,Very Often,190.9,166.6,203.2,174.375
B,12,Never,141.7,174.375,154.0,182.15
B,12,Rarely,154.0,174.375,166.3,182.15
B,12,Sometimes,166.3,174.375,178.6,182.15
B,12,Often,178.6,174.375,190.9,182.15
B,12,Very Often,190.9,174.375,203.2,182.15
B,13,Never,141.7,182.15,154.0,189.925
B,13,Rarely,154.0,182.15,166.3,189.925
B,13,Sometimes,166.3,182.15,178.6,189.925
B,13,Often,178.6,182.15,190.9,189.925
B,13,Very Often,190.9,182.15,203.2,189.925
B,14,Never,141.7,189.925,154.0,197.7
B,14,Rarely,154.0,189.925,166.3,197.7
B,14,Sometimes,166.3,189.925,178.6,197.7
B,14,Often,178.6,189.925,190.9,197.7
B,14,Very Often,190.9,189.925,203.2,197.7
B,15,Never,141.7,197.7,154.0,205.475
B,15,Rarely,154.0,197.7,166.3,205.475
B,15,Sometimes,166.3,197.7,178.6,205.475
B,15,Often,178.6,197.7,190.9,205.475
B,15,Very Often,190.9,197.7,203.2,205.475
B,16,Never,141.7,205.475,154.0,213.25
B,16,Rarely,154.0,205.475,166.3,213.25
B,16,Sometimes,166.3,205.475,178.6,213.25
B,16,Often,178.6,205.475,190.9,213.25
B,16,Very Often,190.9,205.475,203.2,213.25
B,17,Never,141.7,213.25,154.0,221.025
B,17,Rarely,154.0,213.25,166.3,221.025
B,17,Sometimes,166.3,213.25,178.6,221.025
B,17,Often,178.6,213.25,190.9,221.025
B,17,Very Often,190.9,213.25,203.2,221.025
B,18,Never,141.7,221.025,154.0,228.8
B,18,Rarely,154.0,221.025,166.3,228.8
B,18,Sometimes,166.3,221.025,178.6,228.8
B,18,Often,178.6,221.025,190.9,228.8
B,18,Very Often,190.9,221.025,203.2,228.8
